date	count	package
2022-06-28	3	ottrpal
2022-06-29	10	ottrpal
2022-06-30	11	ottrpal
2022-07-01	6	ottrpal
2022-07-02	2	ottrpal
2022-07-03	14	ottrpal
2022-07-04	7	ottrpal
2022-07-05	3	ottrpal
2022-07-06	18	ottrpal
2022-07-07	3	ottrpal
2022-07-08	10	ottrpal
2022-07-09	11	ottrpal
2022-07-10	1	ottrpal
2022-07-11	2	ottrpal
2022-07-12	9	ottrpal
2022-07-13	7	ottrpal
2022-07-14	10	ottrpal
2022-07-15	11	ottrpal
2022-07-16	14	ottrpal
2022-07-17	2	ottrpal
2022-07-18	11	ottrpal
2022-07-19	2	ottrpal
2022-07-20	6	ottrpal
2022-07-21	9	ottrpal
2022-07-22	6	ottrpal
2022-07-23	3	ottrpal
2022-07-24	14	ottrpal
2022-07-25	5	ottrpal
2022-07-26	8	ottrpal
2022-07-27	17	ottrpal
2022-07-28	8	ottrpal
2022-07-29	6	ottrpal
2022-07-30	10	ottrpal
2022-07-31	9	ottrpal
2022-08-01	5	ottrpal
2022-08-02	4	ottrpal
2022-08-03	11	ottrpal
2022-08-04	4	ottrpal
2022-08-05	5	ottrpal
2022-08-06	8	ottrpal
2022-08-07	1	ottrpal
2022-08-08	2	ottrpal
2022-08-09	9	ottrpal
2022-08-10	5	ottrpal
2022-08-11	6	ottrpal
2022-08-12	10	ottrpal
2022-08-13	2	ottrpal
2022-08-14	2	ottrpal
2022-08-15	8	ottrpal
2022-08-16	3	ottrpal
2022-08-17	5	ottrpal
2022-08-18	7	ottrpal
2022-08-19	3	ottrpal
2022-08-21	8	ottrpal
2022-08-22	4	ottrpal
2022-08-23	8	ottrpal
2022-08-24	10	ottrpal
2022-08-25	5	ottrpal
2022-08-26	1	ottrpal
2022-08-27	9	ottrpal
2022-08-28	4	ottrpal
2022-08-29	3	ottrpal
2022-08-30	10	ottrpal
2022-08-31	3	ottrpal
2022-09-01	3	ottrpal
2022-09-02	11	ottrpal
2022-09-04	4	ottrpal
2022-09-05	9	ottrpal
2022-09-06	7	ottrpal
2022-09-07	5	ottrpal
2022-09-08	12	ottrpal
2022-09-09	4	ottrpal
2022-09-10	5	ottrpal
2022-09-11	14	ottrpal
2022-09-12	5	ottrpal
2022-09-13	6	ottrpal
2022-09-14	14	ottrpal
2022-09-15	6	ottrpal
2022-09-16	6	ottrpal
2022-09-17	3	ottrpal
