original_paper	cite_titles	links
Open-source Tools for Training Resources–OTTR	Data science pedagogical tools and practices: A systematic literature review	https://link.springer.com/article/10.1007/s10639-023-12102-y
Open-source Tools for Training Resources–OTTR	Diversifying the genomic data science research community	https://genome.cshlp.org/content/32/7/1231.short
Open-source Tools for Training Resources–OTTR	[HTML][HTML] Ten simple rules for teaching an introduction to R	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1012018
Open-source Tools for Training Resources–OTTR	Motivation, inclusivity, and realism should drive data science education	https://arxiv.org/abs/2305.06213
Open-source Tools for Training Resources–OTTR	Empowering Learning: Standalone, Browser-Only Courses for Seamless Education	https://arxiv.org/abs/2311.06961
What's the best chatbot for me? Researchers put LLMs through their paces.	“HOT” ChatGPT: The promise of ChatGPT in detecting and discriminating hateful, offensive, and toxic comments on social media	https://dl.acm.org/doi/abs/10.1145/3643829
What's the best chatbot for me? Researchers put LLMs through their paces.	[HTML][HTML] Current evaluation and recommendations for the use of artificial intelligence tools in education	https://www.degruyter.com/document/doi/10.1515/tjb-2023-0254/html
